----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
39  10  car  860, 156, 912, 189
39  11  car  217, 127, 252, 154
39  12  car  561, 96, 594, 119
39  13  car  453, 163, 499, 200
39  14  car  525, 99, 553, 119
39  16  car  372, 77, 397, 97
39  17  car  388, 96, 412, 115
39  19  bus  20, 406, 246, 539
39  20  truck  375, 248, 470, 411
39  23  car  821, 205, 887, 255
39  29  car  913, 195, 946, 222
39  35  car  796, 367, 914, 459
39  37  bus  876, 216, 941, 377
40  1  person  814, 129, 829, 157
40  2  person  8, 168, 20, 201
40  3  person  117, 170, 128, 207
40  5  car  620, 170, 680, 208
40  6  car  578, 122, 621, 147
40  7  car  478, 101, 507, 121
40  8  car  229, 146, 278, 178
40  9  car  429, 195, 483, 241
40  10  car  860, 157, 911, 188
40  11  car  217, 127, 252, 154
40  12  car  561, 96, 593, 119
40  13  car  454, 164, 500, 201
40  14  car  524, 98, 552, 118
40  16  car  371, 78, 396, 97
40  17  car  387, 96, 411, 116
40  19  bus  19, 410, 242, 539
40  20  truck  374, 249, 470, 413
40  23  car  819, 204, 883, 252
