----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
581  15  bus  525, 414, 616, 520
581  18  car  493, 722, 671, 894
581  20  bus  577, 319, 638, 371
581  23  bus  705, 372, 766, 451
581  28  car  876, 812, 1036, 963
581  30  car  865, 754, 1016, 847
581  32  car  1151, 814, 1370, 1004
582  1  person  1194, 395, 1220, 441
582  3  car  889, 601, 1006, 702
582  4  car  1245, 583, 1388, 685
582  5  car  882, 400, 929, 436
582  6  car  944, 417, 1005, 463
582  7  car  973, 456, 1045, 526
582  8  car  868, 373, 905, 401
582  10  car  926, 371, 966, 400
582  11  car  644, 384, 693, 418
582  12  car  865, 460, 934, 512
582  13  car  791, 400, 837, 437
582  14  bus  997, 331, 1055, 390
582  15  bus  523, 414, 616, 522
582  18  car  483, 732, 668, 914
582  20  bus  577, 319, 637, 370
582  23  bus  705, 373, 766, 452
582  28  car  878, 803, 1033, 951
582  30  car  866, 748, 1016, 840
582  32  car  1149, 806, 1363, 991
583  1  person  1194, 395, 1220, 440
583  3  car  890, 597, 1006, 696
583  4  car  1243, 578, 1382, 677
583  5  car  882, 399, 929, 434
583  6  car  944, 415, 1005, 462
583  7  car  972, 454, 1045, 525
583  8  car  868, 372, 905, 399
583  10  car  926, 371, 966, 399
583  11  car  643, 384, 692, 418
583  12  car  864, 456, 935, 510
583  13  car  791, 400, 838, 437
583  14  bus  997, 329, 1055, 388
583  15  bus  521, 415, 615, 524
583  18  car  474, 744, 664, 933
583  20  bus  578, 319, 637, 369
583  23  bus  705, 373, 766, 453
583  28  car  879, 796, 1029, 939
583  30  car  868, 741, 1011, 829
583  32  car  1146, 798, 1355, 978
584  1  person  1194, 395, 1219, 439
584  3  car  889, 591, 1008, 694
584  4  car  1239, 573, 1377, 673
584  5  car  881, 398, 928, 433
